artist,title,English_clean_lyric
  박기영  ,Jesus! Oh What A Wonderful Child,jesus jesus oh wonderful child jesus jesus lowly meek mild new life new hope new joy brings listen angels sing glory glory glory new born king jesus jesus jesus jesus oh wonderful child jesus jesus jesus jesus lowly meek mild new life new hope new joy brings listen angels sing glory glory glory new born king herald angels born lowly manger virgin mary mother joseph earthly father three wise men came afar guided shining star see king jesus lay manger filled hay jesus jesus jesus jesus oh wonderful child jesus jesus jesus jesus lowly meek mild new life new hope new joy brings listen angels sing glory glory glory new born king jesus jesus oh jesus mary baby jesus jesus lamb god jesus jesus jesus jesus oh jesus glory glory glory glory love mighty god glory glory glory glory king king jesus jesus jesus jesus oh jesus jesus jesus oh wonderful child oh jesus jesus lowly meek mild new life new hope new joy brings listen angels sing glory glory glory new born king glory glory glory new born king jesus jesus jesus jesus jesus jesus jesus jesus glory glory glory oh wonderful child
  KCM  ,Espresso,
  김형중  ,옆자리,
  Gray City  ,Rain (Feat. 태동),
  박정은  ,울보처럼,
  유해인  ,혼잣말,
  이문세  ,Solo예찬 (Club Mixed By DJ 김윤성),
  우주히피  ,우리의 저녁,
  타이푼  ,운명,
  김소임  ,For You,
"  라이머 ,  구인회  ",향기로운 멜로디,say goodbye day day
  엠씨더맥스 (M.C the MAX)  ,멀어져,
  태사비애  ,오늘이 바로 그날이죠,day falling love baby baby miss oh love baby baby miss oh love believe day falling love baby baby miss oh love baby baby miss oh love
  먼데이모닝  ,향수 (엄마랑 아빠의 품),
  윤종신  ,여자친구,
  박상균  ,내가 너의 곁에,
  R.O.U.L  ,권태기,
  디아  ,Slowly Feel My Eyes,like summer breeze plz come close slowly feel eyes plz love slowly feel heart forever humming mind like summer breeze plz come close slowly feel eyes plz love slowly feel heart forever rising star mind plz come close slowly feel eyes plz love slowly feel heart forever
  이수영  ,화해해,worry live without worry live without worry live without worry live without
  동경소녀  ,Slowly Feel My Eyes (Feat. 어반스페이스),like summer breeze plz come close slowly feel eyes plz love slowly feel heart forever humming mind like summer breeze plz come close slowly feel eyes plz love slowly feel heart forever rising star mind plz come close slowly feel eyes plz love slowly feel heart forever
  릴리 (Lily)  ,쉬운 게 없구나,
  미드나잇 램프  ,더는 솔직할 수 없던 마음 (Feat. 혜인),
  미스티 멜로우  ,둘이서,
  바다 (BADA)  ,Stay,love love love
  다비치  ,아픈 끝,
  아이유  ,무릎,
  김찬호  ,목요일,
  에이트  ,심장이 없어,tv
  다비  ,Ciao For Now (그만 안녕),ciao ciao
  마마무 (Mamamoo)  ,Double Trouble Couple (Inst.),trouble true sweet trouble oh need understand double trouble couple bubble bubble couple sweet trouble feel time double true call say understand double trouble couple bubble bubble couple ordinary day fool double trouble couple bubble bubble couple sweet trouble feel time
  유리상자  ,30대 예찬,
  AFTERNIGHT PROJECT  ,잔향(殘響) (2019),
  손성제  ,지나간다 (Feat. 안신애),
  정인  ,기적을 믿나요,
"  건지 (가비엔제이) ,  미스티  ",올해까지만,
  이현  ,30분전,
  조제  ,바람꽃,
  스탠딩 에그  ,바보야 (With 이해리 of 다비치),
  조동진  ,나뭇잎 사이로,
  노아(knoah)  ,가까이 하기엔 너무 먼 당신,
  김광진  ,잘 지내나요 (Revised),
  다비  ,Con Sentimento,remember one rainy day tender sweet blind see smile felt like dancing rain come back still miss know never late let try part heart still true stand face rain fell love sang together bright shining must fool come back still miss know never late let try part heart still true hear whisper raindrops falling hear calling love shared painful memory kiss rain come back still miss know never late let try part heart still true
  장나라  ,거짓말쟁이,
  양정승  ,"밤하늘의 별을 4 (With. 푸름, 어3거북이)",uh
"  박장현 (VROMANCE) ,  박현규 (VROMANCE)  ",Love Is…,love feeling love feeling love pain love pain love love love love feeling love heart love heart love love love love feeling love feeling
  심태윤 (Stay)  ,미니홈피 만들던 날 (Duet. 윤진),
  오왠 (O.WHEN)  ,Fall In Love (Remastered),maybe fall love maybe fall love fall love maybe fall love maybe fall love maybe fall love maybe fall love
"  정엽 ,  지오 (G.O)  ",You Are My Lady,lady lady lady lady lady lady lady lady lady lady lady lady lady lady
  시하  ,설마,love love
  김동률  ,그게 나야,
  간종욱  ,괜찮아 눈물아 (With 간종우),
  샘김 (Sam Kim)  ,향기 (Inst.),way
  마인드유  ,좋아했나봐 (Acoustic Ver.),
  김장훈  ,세상이 그대를 속일지라도,
  런치박스(lunCHbox)  ,밤 한 모금 (Feat.이예솔),
  커피소년  ,그대를 내 안에,
  투앤비 (2NB)  ,너였어,
  지은 (ZYEUN)  ,흐림,
  뮤직 쿠키  ,너 아니면 안돼 (예성),
  KCM  ,고맙습니다,
  별  ,귀여워 (With 권정열 Of 10cm),know boy love much cause need u love oh baby wan na love know girl love much oh baby wan na love oh baby honey candy chocolate wan na kiss oh baby wan na love
  레이디스  ,누군가의 어깨에 기대,oh baby
  이소정  ,달을 가리운 해,
  윤종신  ,이 세상에 가장 외로운 너,
  김동욱  ,후회,
  박진영  ,십년이 지나도,hey oh honey honey hey oh honey everybody party hey oh honey hey oh honey
