artist,title,Korean_clean_lyric
  Olivia Newton John  ,Have You Never Been Mellow,
  Hello Saferide  ,Saturday Nights,
  Buddy Guy  ,Had A Bad Night,
  Taylor Swift  ,Never Grow Up,
  김세환  ,사랑을 노래해요,사랑 하다 마음 좋다 없다 사랑받다 순간 없다 사랑 눈길 정다운 없다 스치다 닿다 손끝 없다 혼자 알다 없다 야릇하다 기쁨 천만 어도 기분 좋다 사랑 하다 사랑 하다 마음 신나다 없다 밀려오다 마음 없다 혼자 알다 없다 야릇하다 행복 어도 기분 좋다 사랑 하다 사랑 하다 마음 신나다 없다 스치다 닿다 손끝 없다 없다 없다
  Damien Rice  ,Cheers Darlin`,
  심현보  ,"두근두근 오늘은 (Feat. 스윗소로우, 융진, 권순관, 옥상달빛)",기다 하루 어디 지나가다 돌아오다 길이 멀다 하다 방안 들어오다 혼자 켜다 입다 그대로 한참 멍하다 있다 시간 같다 않다 이렇게 살다 맞다 끄다 싶다 새우다 알람 놀라다 뜨다 괜찮다 너무 쓰다 가슴 뛰다 오늘이 놓이다 있다 좋아지다 그렇게 믿다 보다 아무 모르다 어떻다 멋지다 생기다 오늘 먹다 살다 일로 그렇다 그렇다 얘기 친구 섞이다 여전하다 외롭다 시간 쏜살같다 치다 아니다 싶다 불안 언제나 꼬리 꼬리 괜찮다 너무 쓰다 가슴 뛰다 오늘이 놓이다 있다 좋아지다 그렇게 믿다 보다 아무 모르다 어떻다 멋지다 생기다 오늘 그렇다 누구 다르다 않다 이렇게 오늘 꾸다 괜찮다 너무 쓰다 아직 설레다 오늘이 기다리다 좋아지다 그렇게 믿다 보다 아무 모르다 얼마나 근사하다 되다 오늘
  양희은  ,참 좋다,햇살 차다 좋다 있다 차다 좋다 언제나 미소 짓다 고맙다 바람 차다 좋다 풀내음 차다 좋다 머릿결 사이 눈망울 예쁘다 바람 불면 불다 대로 감고 날아가다 보다 내겐 소중하다 부르다 햇살 차다 좋다 있다 차다 좋다 언제나 미소 짓다 고맙다 바람 불면 불다 대로 감고 날아가다 보다 내겐 소중하다 부르다 햇살 차다 좋다 있다 차다 좋다 언제나 미소 짓다 고맙다 햇살 차다 좋다 있다 차다 좋다 있다 차다 좋다
"  소년, 소녀  ",구름 위를 걸어 네게 가고 있어 (Vocal 민유),있다 나다 모르다 미소 짓다 돼다 하루 종일 생각 있다 나다 모르다 웃음 나오다 구름 걸다 가다 있다 사랑 걸다 이렇다 심쿵 이렇다 생각 하다 떨리다 사랑 보다 이렇다 설레다 알록달록하다 그냥 감고 해보다 수줍다 마음 흩날리다 마치 동화 꿈꾸다 아이스크림 같다 우리 우리 로맨스 구름 걸다 가다 있다 사랑 걸다 이렇다 심쿵 이렇다 미치다 보다 좋아하다 보다 좋아하다 보다 알록달록하다 하나 하다 하다 수줍다 마음 흩날리다 마치 동화 꿈꾸다 아이스크림 같다 우리 우리 로맨스 구름 걸다 내다 가다 있다 이제 사랑 시작
  은희  ,연가,바람 치다 바다 오다 오늘 그대 오다 바다 건너다 별빛 아름답다 사랑스럽다 그대 더욱 아름답다 그대 기다리다 내사 영원하다 기다리다 그대 기다리다 내사 영원하다 기다리다 바람 치다 바다 오다 오늘 그대 오다 바다 건너다 별빛 아름답다 사랑스럽다 그대 더욱 아름답다 그대 기다리다 내사 영원하다 기다리다 그대 기다리다 내사 영원하다 기다리다
