artist,title,English_clean_lyric
  오마이걸  ,KNOCK KNOCK,guess something tonight chance knock knock knock knock tonight chance knock knock knock knock everything knock knock knock knock knock knock knock knock knock knock talk know beautiful give let fool let fool get knockin knock let fool let fool give let fool let fool get knockin knock let fool let fool come come let fool let fool get knockin knock let fool let fool come let fool let fool ohoh true true true beautiful true true true true true true alright together
  키 (KEY)  ,This Life,life life life life life life life life mama daddy life get think get think get think get think say say first first first first
  NCT 127  ,Day Dream (白日夢),love loving loving cheshire cat love loving loving cherry fall loving dream dream tire tire dream dream solve solve love dream dream tired yet
  비투비  ,Born TO Beat,stop alone always
  마마무 (Mamamoo)  ,Piano Man (Inst.),action perfection piano man piano man piano man piano man piano man word moon star let babe let darling piano man piano man get swing let groove sing swing groove swing ready ready mamamoo
  마마무 (Mamamoo)  ,Double Trouble Couple (Inst.),trouble trouble trouble couple couple sweet trouble time call trouble couple couple day fool trouble couple couple sweet trouble time say true sweet double bubble bubble double true double bubble bubble ordinary double bubble bubble
  EVERGLOW (에버글로우)  ,DUN DUN,rum pum pum pum pum pum dun dun dun baby bomb bomb stop alright dun baby dun baby dun dun dun dun baby run win stop run everglow tra good strong cool hot good
  신화  ,Sun Flower~ Happy Birthday~,birthday birthday birthday birthday birthday today day everybody birthday birthday birthday today day everybody birthday celebration thanks creation everything today interest party friend everybody time worry thing day birthday birthday day blow light anything joy song sing event today superstar today birthday birthday birthday think tomorrow smile day life matter people way count birthday birthday birthday birthday day birthday birthday today day everybody birthday birthday birthday today day everybody birthday birthday wish tonight day birthday birthday wish tonight day birthday wish come celebrate come wish come celebrate come let god let get start call get shine tonight wait alright remember mean sun wish come celebrate come wish come celebrate come happy happy happy happy wish true special happy wish true special birthday best good happy happy special candle wish special main happy happy happy special best happy happy flower happy happy special happy wish true special happy wish true special happy true special happy happy true special happy hard especially always
  SHINee (샤이니)  ,독감 (Who Waits For Love),love love love love love love love love baby love love love love get
  방탄소년단  ,Best Of Me,time time something nothing hand thanks time time love love make get get leave get take get get get get leave get get leave get get get get get leave get get leave get love love best best please best best best best best please best best please best best best best best best best please best best please best right
  Red Velvet (레드벨벳)  ,Somethin Kinda Crazy,happens kinda crazy kinda crazy kinda crazy happen crush love crush crush crush crazy somethin crazy somethin somethin somethin
  아스트로 (ASTRO)  ,붙잡았어야 해,cry cry cry baby goodbye chance baby hand alright please take girl never
  우주소녀  ,Baby Come To Me,baby come babe babe come everything hello heart baby babe babe everything everything hello heart baby babe babe baby hurry talk baby babe babe baby babe babe babe give baby come babe stop give give stop baby come babe cheer come babe babe babe sweet babe sweet babe babe babe
  몬스타엑스  ,어디서 뭐해,matter day baby lovin babe prob take take take birthday day day fake baby lady layback time play today day day day baby lovin babe vibe way way babe show stop stop stop pop take take take take take take cake play show stop stop stop kill hesitate let stop stop fake fake fake fake
  박유천  ,Magic,fun trip let sky type guy time magic magic magic something magic something magic something magic something magic mind mama let sky type guy life magic magic magic something magic something magic something magic something magic light magic magic magic something magic something magic something magic something take take see waste get get get teach see waste get get get get get get light light good good good good light right light light good good good good light light good good good good
  태일 (블락비)  ,좋아한다 안 한다 (Duet. 세정 of 구구단) (Prod. 박경),baby baby baby baby
  JBJ95  ,LOVE DIVE,daylight dive love dive love view view view eye dive love fire feel dive love dive love view view view eye dive love dive love dive love dive love dive love dive love dive love view view view eye dive love dive love dive love dive love dive love shine let dive shin take shin shin blue blue dive alive high blue blue blue blue
"  찬열 (CHANYEOL) ,  세훈 (SEHUN)  ",We Young (Inst.),aye aye day day worry trip trip clean feel make make get get real young young young young young young young young young young young young young young young young young young young young young young young young young young young young young young young young young aye alone
  CLC  ,숨바꼭질,hide minute issue sweetie see sweetie love bye sweetie sweetie love sweetie see sweetie love sweetie sweetie see hot good never never never
  마마무 (Mamamoo)  ,LOVE,fall love subway walking rain walking lane lane mint fall love subway walking rain lane love subway walking rain walking lane lane fall walk fall walk
  블락비 (Block B)  ,Toy,toy toy everything toy toy girl toy toy toy girl toy toy toy toy
  티아라  ,TIAMO (Chinese Ver.),tiamo hao yan lei wang kong duo duo hao zui jiao chu rong zhe yang ang liu lei love love zhua zhu jue hui fang kai zheng lun shi hai shi zhi yao lun shi tiamo men hao mei ren neng way way men hao cong dao shi shu shu shu dao shi bai zhi dao diao xie yuan liu zai shi feng shi leng bie zhuang geng jia tong tiamo tiamo men hao love love zhua zhu jue hui fang kai zheng lun shi hai shi zhi yao lun shi tiamo men hao mei ren neng way way men hao zhen fen rang mei tian man jiu bie fang kai lun shi hai shi zhi yao lun shi tiamo men hao mei ren neng way way men hao lun shi hai shi zhi yao lun shi tiamo men hao mei ren neng way way men hao wang xing xing qing ting zhi yao liang liang kai qing qing jing bing qing liang qing ting zhi yao liang liang qing xing huan nei zhi yao liang liang zhi yao liang liang tiamo tian zhong hao tiamo bao hao zai shi dao yong bao hao zai chong zai zai
  헨리 (HENRY)  ,I Would,nothing one man love baby one girl memory battle girl kind pain battle girl love feeling way battle girl break want make fall know see get love miss fight lose walk think see know know fall leave heal get love miss fight lose walk tell tell feel leave get love miss fight lose tell walk love else weak deep single tainted ever ever ever alone alone anymore away easily enough enough never never anymore away easily anymore away away
  더보이즈 (THE BOYZ)  ,SUMMER TIME,baby baby time summer time summer time babe time summer time summer time summer time summer time summer time summer time summer time see get fly fly get fly fly fly fly fly fly babe babe
  동방신기 (TVXQ!)  ,Tri-Angle (Feat. 장리인),power hate moment pay look world cause day day flow flow flow show earth get listen get growl funny alone
