artist,title,English_clean_lyric
  헤이즈문 (Haze Moon)  ,Stop It (Feat. 음수경),eye word teardrop mine eye shadow voice chill lie dream one kind nothing nothing nothing dream dream dream lose see find meet try push mine saw real
  독스테일  ,그대가,
  소보  ,씨앗,
  오주 (OHZU)  ,휙 (feat. GFU),jude ye hey
  로맨틱 어프로치  ,뻔한 얘기,
  Cozy Cafe  ,난 몰라..,wan gon love love love love forever
  황윤진  ,스물아홉 (Feat. 희재),
  이스트코너 (East Corner)  ,빗소리,
  아홉달  ,데리러 갈게,
  프리스쿱 (FreeScoop)  ,Tail Lens,bye poet poet poet poet poet poet poet poet poet poet poet poet see see see see see see see see see see see see good good
  도나송  ,조금 어색한 그대 (Feat. 강현기),together together
  In Place  ,Wonderland,shoe chair stage trick name hand game time bee flower na home cause brandy heart mind worry baby skin heart mind heart mind night face lip moment life man time bee flower na home cause brandy heart mind worry baby skin heart mind heart mind home cause brandy heart mind worry baby skin heart mind heart mind hang dance tell take make go gon stay fall gon stay gon stay meet end gon turn kiss tell take make go gon stay fall gon stay gon stay go gon stay fall gon stay gon stay secret little tic easy wan red last easy wan always close back never ever na close back back
  JUNKY GREY (정키 그레이)  ,회색사막,farewell farewell farewell farewell
  정창현  ,알아,
  네튤농  ,호밀밭의 베이시스트,
  콩고오랑캐  ,Gonna Take,awhile gon gon na awhile gon gon na awhile gon gon na awhile gon gon na awhile gon gon na awhile gon gon na take forget take share care take forget take share care restart forget take share care take forget take share care take forget take share care take forget take share care gon gon gon gon restart restart restart restart restart
  소심한 오빠들  ,현자타임,
  리리코이 (lili coy)  ,Sway Bae,sway bae bae sway
  문선 (MOONSUN)  ,뭇,
  달콤한 소금  ,나 아직도 꿈꾸네,
  로로스  ,방 안에서,moon sun na moon sun na na rise rise rise rise know wan know know know know know know wan know know know know know always always na na na na na na na always always na na na na na na
  로큰롤라디오 (ROCK N ROLL RADIO)  ,비가 오지 않는 밤에,
  밴드마루  ,Can`t Stop Rock & Roll (Album Ver.),tonight rock roll rock roll rock roll rock roll rock roll rock roll rock roll rock roll rock stop stop stop stop stop let go let go let go let go stop stop let go let go let go let go stop stop never never never never never never never never
  백아  ,징검다리,
  캐스커  ,Discoid (Vocal Edit),disco machine dance bring disco machine dance bring dance bring disco machine dance bring dance bring dance bring tell cheer tell cheer tell cheer tell cheer tell cheer tell cheer always always always always always always
