artist,title,English_clean_lyric
  Linda Perry  ,Life In A Bottle,life bottle memory wrap friend hand way inch company meant nothing let walking wall head swimming well guess company meant company nothing let nothing let company meant company nothing let nothing let fake set meet hold forget mean say love hate say stone demented bang fell hell say say say say comforting destiny selective free inch bad sad delighted bad bad bad bad tightly slowly straight
  Ant Saunders  ,MISCOMMUNICATIONS,miscommunications relation mind waste time guess ghost misinterpretation vibration lie time hope baby hope baby limitation regulation flume expectation situation water fountain youth hope baby hope baby miscommunications miscommunications relation relation miscommunications mind waste time guess ghost haunt carry differ get think get think let become get sweep lower get think get think haunt carry good great white crazy crazy crazy crazy simple unholy crazy crazy crazy crazy good good ever uncontrollably lonely away deep slowly ever ever
  Bread  ,If (Lp Ver.),picture thousand word paint word face ship one home love life man place time today way world end world star show come know launch leave run stop revolve spin die fly dry never slowly simply away
  ABBA  ,King Kong Song,movie night notion song rock roll band people everybody mighty killer gorilla king kong song music kong kong song beating monkey tom tom rhythm king kong jungle place gorilla people monkey monkey people time everybody music sing funky arm mighty killer gorilla king kong song music kong kong song beating monkey tom tom rhythm king kong song mighty killer gorilla king kong song music kong kong song beating monkey tom tom rhythm king kong song king kong song music kong kong song beating monkey tom tom rhythm king kong song look write sing bet shout win get sing make make tell let waddle win get sing win get sing win get sing last funny dreadful big black wild wrong old good kinda dreadful big black wild wrong dreadful big black wild wrong wrong well really along listen along song well together along listen along along along along listen along
  Hall & Oates  ,Out Of Touch,body shade color ice sun time matter look touch time head something love climate move dream living middle extreme gun touch matter shake use wake fantasy use see break soul take reach hold look smoke cool soul broken soul cold manic drowsy hot much soul much still often alone really alone really
  Vitamin C  ,As Long As You`re Loving Me,ooohhhh fight light light love love world matter dream mountain part heart eternity feel moment side side world matter cause mountain part heart eternity world matter dream love fight keep feel come love love move seas love reach touch lie love love love move seas love love feel come love love save love love love love real first afraid ready true open good goodnight strong easy ready open ready true mmmm naturally long long long feels always long long long long long long long forever long long long long
  Sasha Sloan  ,at least i look cool,car work shop target shirt rent thing tonight bank account cool house malibu picture pool thing god cup kinda find dope hair clothes fire post show cool house malibu picture pool thing cool house afford tennis court kinda age nobody name uberpool way shh cool house malibu picture pool thing cool house afford tennis court kinda get invite get take throw know get pose get take black bore lie get take black bore shitty couch ready least least cool somewhere least least least cool least least least cool never even never honestly even never honestly
  Blue  ,Sorry Seems To Be The Hardest Word (Featuring Elton John),sorry word strike word situation absurd sorry word word situation absurd sorry word strike got word get make love get make care lightning find get make want get hear get make want get hear get get make love get hear lightning get sorry hard sorry hard sad sad sad sad sad sad hard sorry hard sad sad sad sad sad sad hard hard
  Celine Dion  ,Ave Maria,maria prayer thou wild thou thou despair slumber mother man mainden sorrow mother child maria maria maria maria plenum dominus murky air balm hast hear pleadin mother child maria maria ave save breath smile maiden mild maiden hear relived maiden suppliant plena plena cavern heavy thou maiden maiden suppliant safely
  Busted  ,Year 3000,day home lunchtime noise yard boy neighbour peter capacitor time machine one film year water daughter fine future thing everything boybands triple woman town round time machine film year water daughter trip thousand song platinum everybody album michael jackson trip thousand song platinum everybody album album time machine one film year water daughter fine year water daughter year water daughter fine year water daughter come hear find stand call tell build see say change live take saw breast drive see say change live take bring outsell take bring tell build see say change live say change live say change live say change live funny rowdy flux much great great great grand pretty fine pretty flux naked much great great great grand pretty fine pretty fine multi multi much great great great grand pretty fine pretty much great great great grand fine much great great great grand pretty fine pretty much great great great grand pretty fine back totally pretty
  Anne-Marie  ,Peak,amount blame love time lot heartache love one breathe sleep eat cheat something peak feel steal anything song sang heart stay hope one breathe sleep eat cheat something peak feel steal anything love lose take think beat try look wrong hit know get stand beat try look wrong hit enough honest blue honest cool humble tall honest blue honest cool instead love instead
  New Kids On The Block  ,Single (Feat. Ne-Yo),money money girl everybody club man song lady everybody club man song tonight cause pick phone matter cause music couple minute boyfriend man chorus boyfriend girl boyfriend baby boyfriend boyfriend song everybody club man song lady everybody club man song beat love harmony let cause chorus boyfriend song boyfriend song everybody club favorite song lady everybody club favorite song lady get get turn turn come suppose bring tonight come enjoy get tonight tonight say get say get say turn turn tell let tell tell let sing get come baby miss run turn deticate turn deticate independent loud deticate favorite single wrong loud deticate favorite next single single single single alone loud deticate favorite single wrong loud deticate favorite beautiful song high high loud single wrong loud single wrong right right alone pretty mama alone alone alone right right ever back back right right
  Foy  ,Give Me The Night (Feat. Scott Quinn),dark spirit party day blue city light music air lot night night action place glass wine romance chain reaction people world cause music air lot night night night night rhythm evening weather street morning light cause music air lot night night night night night night night night dark spirit party day blue city light music air lot night night night night night night night night fall come dawn throw hit love give give even dine see come dance love give give give give feel take dance love give give give give give give give give fall come dawn throw hit love give give give give give give give give alive little late high alive everywhere everywhere together never everywhere everywhere
  Mark Ronson  ,L.S.F. (Feat. Kasabian),troop fire trading step troop fire waiting trip come thru letterbomb potion drug hour prostitute motor fire messiah animal back wall yer troop fire trading step troop fire waiting trip back wall get come say back wall get get get carve come come get get watch kill get come get watch get watch much electronic deep sleeper final loud electronic polyphonic sayin much electronic deep sleeper final closer little much away closer little much
  Terror Jr  ,Sad Sad Girl,reindeer pioneer columbus call pioneer santa gloryhole blow christmas list mistress house witness court date wrap bow round girl darkness heartless girl sane darkness thrive darkness girl darkness heartless girl sane darkness thrive darkness ammunition bubblegum trouble cause bang tongue till stitch face face worship satan torch lit mistletoe smoke purple stuffer propane christmas snowman eggnog mist girl darkness heartless girl sane darkness thrive darkness girl darkness heartless girl sane darkness thrive darkness seem keep come smoke die get get hit make hit kiss know count miss keep rumble kiss take stock sip nose clear snow north pole twisted hit present sad sad strange sad sad sad sad strange sad sad pagan shit spliff white rudolph sierra lisa sad sad strange sad sad sad sad strange sad sad shot
  James TW  ,Ex,night street night mate harm drink guess harm cause someone cause heart dance somebody somebody somebody love arm man cause idea memory song drink drop someone cause heart dance somebody somebody somebody love arm man cause dance somebody somebody somebody love arm man cause fill call wonder come try help introduce get tell want fall forget wrap dance become become remember get slip play use sing buy stop stop drink try help introduce get tell want fall forget wrap dance become become become want fall forget wrap dance become become become saturday saturday guess couple good good tonight bad less wish favourite lemon tonight tonight ever probably else along else tightly alone even away away almost almost else along else tightly alone else tightly alone
  The Bangles  ,Hazy Shade Of Winter,time time time become time time time become possibility leaf sky shade winter salvation army riverside bound ride got cup hand leaf sky shade winter hang hope friend thing hope grass field springtime life season scenery weaving time tapestry leaf sky shade winter look leaf patch snow ground leaf patch snow ground leaf patch snow ground see see look please look plan say pass pretend build win remember look hard brown hazy good brown hazy easy high ripe brown hazy simply
  Eva Cassidy  ,You Take My Breath Away,power love breath love grow child breath mountain news breath power love breath beauty eye breath mountain news breath mountain news breath take take slip lose use stand tell take take slip lose use stand tell slip lose use stand tell strong gentle wild good good good top strong good good good top good good good top sometimes sometimes away sometimes sometimes sometimes away away sometimes away away away away
