artist,title,Korean_clean_lyric
  M (이민우)  ,비야,떠나다 애원 하다 않다 모습 인적 없다 그래도 있다 하다 그치다 하루 종일 소리 지르다 서럽다 울다 진심 알다 떠나다 한없이 울다 정말 많이 생각 하다 잊다 살다 자신 없다 정말 떠나가다 이비 맞다 지우다 서로 없이 담담하다 하다 가슴 쉬다 조차 없다 정말로 정말로 멎다 기다리다 못내 아쉽다 건지다 생각 하다 기도 하다 때문 해도 가슴 영혼 파다 있다 정말 많이 생각 하다 잊다 살다 자신 없다 정말 떠나가다 이비 맞다 지우다 이제 있다 나르다 떠나다 비야 알다 제발 멈추다 영원하다 떠나가다 하다 정말 많이 생각 하다 잊다 살다 자신 없다 정말 떠나가다 맞다 지우다 한번 생각 하다 위해 나가다 이렇게 애원 하다 그래도 떠나가다 멎다 슬프다 하다 수도 없다
  Apink (에이핑크)  ,I Like That Kiss,느낌 애매하다 제스처 그만 자꾸 걸리다 입술 금일 끄다 바보 같다 커지다 갈수록 꿈꾸다 어떡하다 다가오다 벌써 속이다 몰래 빠지다 원하다 원하다 모르다 모르다 원하다 원하다 돼다 상상 해도 맘속 손끝 닿다 온기 수줍다 지다 미소 어색하다 순간 금일 끄다 사랑 맞다 다가 갈수록 떨리다 어떡하다 느끼다 보다 벌써 속이다 몰래 빠지다 모르다 눈치 없다 마음 급하다 가요 자꾸 속이다 점점 빠지다 원하다 원하다 모르다 모르다 원하다 원하다 돼다 상상 해도 맘속
  동방신기 (TVXQ!)  ,Spokes Man - 유노개인기 (Feat. Super Junior - 동해),들다 보다 보다 항상 반대쪽 나오다 하다 어지럽다 상속 혼돈 주먹 꽉쥐 거치다 세상 흔들다 지르다 가보다 하나 치기 박치기 스타일 한번 빠지다 보다 보다 이리저리 흔들다 대다 힘껏 느끼다 즐기다 보다 준비 돼다 오다 스테이지 서다 울분 터지다 목소리 잠시 빌리다 보다 나이 이제 아직 여리고 어리다 하다 하다 없다 애송이 애송이 가지 있다 세상 멜로디 타고 리듬 달다 보여주다 주목 해보다 보다 가지 있다 통해 시간 다시 거슬러 되돌리다 싶다 여전하다 꼭두각시 세상 묻히다 살다 자신 서다 되새기다 보다 그렇게 생각 계속 싶다 상속 주인공 되다 해보다 그래도 바꾸다 원하다 인정받다 싶다 사람 들다 보다 이렇게 언제 낙오 남다 감다 생각 해보다 그러면 세상 존재 걸다 남겨지다 시간 앓다 있다 하루하루 지나 갈수록 하루 다르다 변하다 생각 많아지다 가식 커다랗다 커지다 세상 가식 허울 있다 어지럽다 복잡하다 마치 롤러코스터 그냥 집중 나르다 따라오다 백지장 꺼멓 들어가다 모두 하나같이 똑같이 떠들다 대다 바꾸다 바꾸다 너희 썩다 빠지다 생각 음악 듣다 너희 생각 한번 바꾸다 보다 가식 모습 쌓이다 먹히다 먹이사슬 놀이 가꾸다 너희 생각 없다 뇌리 습관 출발 해주다 노래 로만 아시 자신 서다 되새기다 보다 그렇게 생각 계속 싶다 상속 주인공 되다 해보다 그래도 바꾸다 원하다 인정받다 싶다 사람 들다 보다 이렇게 언제 낙오 남다 감다 생각 해보다 그러면 세상 존재 걸다
  SHINee (샤이니)  ,누난 너무 예뻐 (Replay),너무 예쁘다 남자 두다 흔들리다 그녀 사실 있다 그녀 사랑 한순간 느낌 뭐라다 해도 아마 그녀 어리다 부담스럽다 가보다 바라보다 눈빛 해주다 다가 오다 가슴 해주다 누가 너무 예쁘다 그녀 보다 미치다 지치다 추억 할퀴다 아프다 고치다 다가오다 이별 부러 시선집중 그녀 함께 있다 제발 놓다 다짐 어느 순간 거짓 아마 그녀 착하다 재미없다 보다 대하 몸짓 있다 다가 오다 가슴 소리치다 이별 너무 예쁘다 그녀 보다 미치다 지치다 추억 할퀴다 아프다 고치다 다가오다 이별 아름답다 그녀 아직 누구 진실 되다 사랑 본적 없다 분명하다 아쉽다 그녀 아직 어리다 진실 되다 사랑 마음 받다 없다 너무 예쁘다 그녀 보다 미치다 지치다 추억 할퀴다 아프다 고치다 다가오다 이별 너무 예쁘다 그녀 보다 미치다 지치다 추억 할퀴다 아프다 고치다 다가오다 이별 너무 예쁘다 예쁘다 진실되다 사랑 보다 너무 예쁘다 예쁘다 진실되다 사랑 마음
  Performer  ,쉽지,사랑 있다 혼자 남기다 두다 떠나가다 지난 너무 너무 너무 미안하다 내다 다시 돌아오다 길이 어렵다 망설이다 망설이다 사랑 하다 그녀 나르다 사랑 하다 그녀 많이 많이 힘들다 하다 친구 들다 어렵다 우리 쉬다 깨지다 않다 어쨋 사랑 하다 내다 돌아오다 쉬다 모르다 모습 오히려 돌아오다 기다리다 한번 실수 생각 하다 어쨋 사랑 있다 내게로 오다 눈치 보다 필요 없다 그냥 내게로 오다 내게로 오다 걱정 하다 그대로 내게로 오다 늦다 받다 준비 되다 라면 내게로 다시 돌아오다 쉬다 열다 사랑 하다 사이 어렵다 있다 힘들다 만들다 싶다 않다 기다리다 늦다 받다 준비 되다 라면 내게로 다시 돌다 오다 쉬다 열다 내게로 오다 눈치 보다 필요 없다 그냥 내게로 오다 내게로 오다 걱정 하다 그대로 내게로 오다 내게로 오다 눈치 보다 필요 없다 그냥 내게로 오다 내게로 오다 걱정 하다 그대로 내게로 오다
  브라운아이드걸스  ,Timing,이어지다 알다 있다 모든 잊다 눈빛 당당하다 자신감 스스로 자신 만족하다 여유 충분하다 나르다 모든 행동 어쩐지 남자 들다 같다 분명하다 나르다 갖다 싶다 욕심 있다 신중하다 다시 은근 재고 있다 다가오다 모든 바꾸다 보다 어디 나르다 열다 보다 흔하다 그저 호기심 이면 사랑 없다 들어서다 바라보다 순간 느끼다 루즈 기분 사로잡히다 원하다 지도 바라다 지도 모르다 하다 다가오다 어깨 감다 살작 입술 맞추다 스치다 숨기 그저 방식 좀더 지키다 아니다 다른 여자 대하 면서 나르다 잡다 가끔 그냥 솔직하다 보이다 보다 시간 자꾸 가다 너무 늦다 다가오다 모든 바꾸다 보다 어디 나르다 열다 보다 흔하다 그저 호기심 이면 사랑 없다 미소 주다 보다 느낌 주다 보다 찾다 지난 시간 원한 안기다 참다 나르다 깨우다 아프다 깊다 버리다 고프다 기억 역시 그만 가다 다가오다 모든 바꾸다 보다 어디 나르다 열다 보다 흔하다 그저 호기심 이면 사랑 없다 개다 점점 좁히다 사이 이대로 터지다 버리다 같다 나르다 뚫어지다 보다 있다 그대 내다 다가오다 이제 간발 차이 풍기다 그대 향기 좋다 있다 잡다 다가오다 주다
  김산  ,헤드라이트,점점 깊다 가요 밝다 가로등 스치다 헤드라이트 다가오다 아직 많다 새우다 당신 함께 걸다 남겨지다 지난 떠올리다 있다 다시 돌아오다 주다 바램 같다 없다 보고 싶다 떠나다 시간 행복하다 지난날 사진 차다 많다 순간 함께 거닐다 사랑스럽다 미소 짓다 당신 그립다 다시 돌아오다 주다 아직 많다 새우다 당신 함께 걸다 남겨지다 지난 떠올리다 있다 자신 없다
  뉴이스트  ,"NU, Establish, Style, Tempo",약자 열다 뜨다 로움 창조 하다 아무 막다 우리 무서움 없다 들다 이제 우리 지켜보다 우리 색다르다
  오렌지 캬라멜  ,나처럼 해봐요,해보다 솔직하다 솔직하다 답답하다 죽다 사랑 사랑 그리다 어렵다 해보다 생각 별로 어렵다 않다 하나 해보다 자기 먼저 연락 해보다 수다 먼저 들다 보다 주기 가끔 밀고 당기다 보기 기념일 챙기다 정말 사랑 하다 숨기 말기 해보다 흔들다 보다 들다 놨다 해보다 다가 처럼 해보다 추다 보다 이렇게 흔들다 보다 해보다 가끔 가끔 계산 먼저 조금씩 조금씩 정신 빼놓다 어느새다 모르다 홀려 버리다 당신 귀엽다 노예 불쌍하다 사소하다 전부 기억 해주다 자존심 따위 두다 오다 눈웃음 치다 보고 잡다 보고 정말 사랑 하다 먼저 고백 하다 보다 해보다 흔들다 보다 들다 놨다 해보다 다가 처럼 해보다 추다 보다 이렇게 흔들다 보다 해보다 요렇게 저렇게 요렇게 요렇게 저렇게 요렇게 저렇게 요렇게 요렇게 저렇게 따르다 따르다 따르다 따르다 따르다 해보다 가슴 태우다 보다 요렇게 추다 보다 다가 처럼 해보다 추다 보다 이렇게 흔들다 보다 해보다
  미쓰에이  ,(Mama) I`m Good,모두 나르다 구속 하다 다른 나르다 보다 이리 복잡하다 우리 단순하다 가요 어리다 아직 모르다 태도 안다 어리다 그렇다 생각 단순하다 제발 내버리다 두다 걱정 하다 지키다 보다 있다 싫다 싫다 하다 외모 어색하다 화장 하다 아직 미숙 하다 어리다 아직 모르다 태도 안다 어리다 그렇다 생각 단순하다 제발 내버리다 두다 걱정 하다 지키다 보다 있다 갈다 높다 하다 날아가다 걱정 하다 지키다 보다 있다
