artist,title,Korean_clean_lyric
  톰톰  ,아무일도 없는 밤 (Remastered 2018),설레다 안고 나선 거리 잊다 사람 사이 잔뜩 차려 입다 찾다 오늘 말동무 향기롭다 작다 술집 마주치다 순간 무슨 생기다 않다 기대 아무 일도 없다 그냥 말다 사람 하나 없다 그냥 지나치다 가다 아무리 추다 의도 아니다 아주 건전하다 흘러가다 자리 옮기다 조용하다 앉다 쓸데없이 비싸다 시키다 건네다 보다 괜찮다 싶다 사람 찾다 마주치다 순간 나르다 보다 미소 짓다 여자 이건 뭔가 괜찮다 싶다 다가가다 보지 아무 일도 없다 그냥 말다 사람 하나 없다 그냥 지나치다 가다 아무리 추다 의도 아니다 아주 건전하다 흘러가다 설레다 안고 나선 거리 점점 사람 사이 혼자 해보다 해보다 피로 깊다 사랑 남자 모르다 그걸 받다 여자 모든 쉽다 거리 이렇게 아무 일도 없다 그냥 말다 사람 하나 없다 그냥 지나치다 가다 아무리 추다 의도 아니다 아주 건전하다 흘러가다 건전하다 흘러가다 이렇게 혼자 서다
  Moon in Suit  ,Indian Song,
  연애할시간  ,우리만날시간,햇살 맑은 사랑 안고 가다 떨어지다 꽃잎 같다 불어오다 바람 작다 마음 구름 사랑 피어 한발 두발 달려가다 발걸음 구름 걸어가다 같다 담백하다 미소 알다 향기 점점 가까워지다 연애 시간 불어오다 바람 작다 마음 구름 사랑 피어 한발 두발 달려가다 발걸음 구름 걸어가다 같다 담백하다 미소 알다 향기 점점 가깝다 지다 연애 시간 설레다 마음 알다 글쎄 모르다 그래도 좋다 한발 두발 달려가다 발걸음 구름 걸어가다 같다 담백하다 미소 알다 향기 점점 가깝다 지다 한발 두발 달려가다 발걸음 점점 가까워지다 연애 시간 사랑 시간 우리 만날 시간
  스탠딩 에그  ,Starry Night,보다 없다 별하늘 한참 바라보다 아무렇다 없이 하나 떨어지다 기도 서로 안고 기다리다 꿈속 꿈속 오늘 같다 서다 이대로 그대 영원하다 머물다 싶다 끝없이 별하늘 꿈속 꿈속 오늘 같다 서다 이대로 그대 영원하다 머물다 싶다 끝없이 별하늘 쏟아지다 밤하늘 바램 새다 있다
  3호선 버터플라이  ,스모우크핫커피리필,스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 스모 크다 커피 리필 달이 뜨다 않다 뜨다 붉다 눈시울 망초 심장 누르다 붉다 눈시울 망초 뜨겁다 뚜리 피리 붉다 눈시울 망초 심장 누르다 붉다 눈시울 망초 지나가다 희다 구름 쓰다 이름 붉다 눈시울 망초 심장 누르다 붉다 눈시울 망초 뜨겁다 뚜리 피리 붉다 눈시울 망초 심장 누르다 붉다 눈시울 망초 지나가다 희다 구름 쓰다 이름
  바닐라 어쿠스틱  ,고백 (From. 김지수),사랑 걸음 조급하다 않다 때로는 과감 고백 걸음 조급하다 때로는 창피하다 냄새 맡다 머리 넘기다 그대 환상 옆모습 사랑스럽다 정도 그치다 않다 고백 싶다 만들다 아주 조심 스레 사랑 그대 입술 쳐다보다 나다 그대 모습 바라다 사이 너무나 어색하다 빨리 대답 해주다 생각 해보다 그대 얄밉다 종일 기다리다 시곌 쳐다보다 초라하다 없다 모습 불쌍하다 많이 떨리다 정도 그치다 않다 걸다 만들다 아주 조심 스레 사랑 그대 입술 쳐다보다 나다 그대 모습 바라다 사이 너무나 어색하다 빨리 대답 해주다 생각 해보다 그대 얄밉다 아프다 않다 주다 미소 지다 받다 주다 아주 조심 스레 사랑 그대 입술 쳐다보다 나다 그대 모습 바라다 사이 너무나 어색하다 빨리 대답 해주다 생각 해보다 그대 얄밉다
  우수한 (OOSU:HAN)  ,너로부터 (Feat. 오왠),차가워지다 눈빛 식다 버리다 숨결 버리다 진심 내다 무엇 스치다 우리 시간 꺼지다 불빛 아무 없다 뜨겁다 마음 식다 가다 지나가다 새벽 뜨다 기도 아쉽다 마음 비우다 조심스럽다 말투 잃어버리다 향기 가까워지다 이별 선명하다 내다 사랑 혼자 우리 시간 꺼지다 불빛 아무 없다 뜨겁다 마음 식다 가다 지나가다 새벽 뜨다 기도 아쉽다 마음 비우다 잃다 달빛 멀어지다 우리 그림자 함께 나누다 안고 감다 꺼지다 불빛 아무 없다 뜨겁다 마음 식다 가다 지나가다 새벽 뜨다 기도 아쉽다 마음 비우다 지나 새벽 아침 밝다 우리 슬픔
  다지  ,황량해지기엔,기억 나르다 눈물 없다 나르다 자다 내란 인사말 흔들다 보내다 있다 나르다 없다 나르다 온기 없다 침묵 메인 슬픔 삼키다 그렇다 오래되다 얘기 삼키다 슬픔 사그라들다 않다 소멸 되어다 흔적 다시 살아나다 기억 마음 망설이다 없다 마음 시간 먼지 되어다 사라지다
  서민영  ,밤은 깊어가는데,둘이서 자주 걷다 거리 지나치다 오다 왠지 모르다 처지다 마음 답답하다 생각 나서다 쏟아지다 내리다 먹다 한참 울다 사랑 그립다 익숙하다 목소리 다정하다 표정 지워지다 않다 깊다 가다 연락 없다 좋다 그렇다 그게 부담 되다 모르다 이제 시작 지다 정말 미안하다 그게 무슨 소리 함께 많다 걷다 싶다 유난히 차갑다 잡고 쏟아지다 이렇다 날다 어떡하다 떠나가다 깊다 가다 연락 없다 좋다 그렇다 그게 부담 되다 모르다 이제 시작 지다 정말 미안하다 그게 무슨 소리 잊다 수가 없다 지우다 수가 없다 아직 많이 사랑 헤어지다 꾸다 좋다 없다 깊다 연락 하나 없다 바쁘다 바보 마냥 웃다 차다 사랑 싶다 얘기 들다 나쁘다 여자 잊다 수가 없다 지우다 수가 없다 아직 많이 사랑 헤어지다 잊다 수가 없다 지우다 수가 없다 아직 많이 사랑
  가을방학  ,David,만원 페북 사랑 엄마 사랑 엄마
