artist,title,Korean_clean_lyric
  LENNY MAKES SOME-THING  ,TURN ME ON (Feat. ARCX),모든 도시 준비 보이지 않다 상관없다 누르다 울리다 알람 서로 느끼다 역시 오늘 그만 숨다 변하다 맞다 손길 닿다 두다 시간 이렇다 느낌 이미 담다 두다 담다 두다 단어 꺼내다 시간 바꾸다 보다 우린 바라보다 이제 우린 원하다 서로 스위치 켜다 원하다 오늘 이제 영원하다 모습 상상 원하다 오늘 이제 영원하다 모습 상상
  Ruff Endz  ,Someone To Love You,
  GOT7 (갓세븐)  ,아파,들다 없다 있다 달다 아직 기억 상처 가슴 찾다 건지다 이제 나르다 떠나다 하든 생각나다 없이 보내다 하루 슬프다 기르다 혼자 아프다 이렇게 온종일 그리다 깊이 파고 들어오다 행동 말투 하나 모든 바보 같다 가슴 자꾸 이르다 건지다 이리 아프다 도저히 자다 모르다 이해 표정 아프다 너무 아프다 없이 보내다 시간 너무 아프다 이렇게 되어다 너무 아프다 모든 보이다 없이 행복하다 보다 한쪽 가슴 사람과 불행하다 이제 나르다 떠나다 하든 생각나다 없이 보내다 하루 슬프다 기르다 혼자 아프다 이렇게 온종일 그리다 깊이 파고 들어오다 행동 말투 하나 모든 바보 같다 가슴 자꾸 이르다 건지다 이리 아프다 도저히 자다 모르다 이해 표정 아프다 너무 아프다 없이 보내다 시간 너무 아프다 이렇게 되어다 너무 아프다 이제 나르다 떠나다 하든 생각나다 없이 걷다 너무 초라하다 보이다 혼자 아프다 이렇게 온종일 사랑 하루하루 지나다 가슴 아프다 근데 아무렇다 않다 함께 즐기다 순간 웃다 싸우다 이렇다 추억 생각 나다 이제 돌아가다 없다 갈수록 빠지다 보이다 냉정 열정 사이 정답 끄다 가슴 머리 앞서다 왤다 깊이 파고 들어오다 행동 말투 하나 모든 바보 같다 가슴 자꾸 이르다 건지다 이리 아프다 도저히 자다 모르다 이해 표정 아프다 너무 아프다 없이 보내다 시간 너무 아프다 이렇게 되어다 너무 아프다 이건 노랗다 듣다
  THERAY  ,Zoom In,정녕 그대 사람 있다 예쁘다 눈빛 주다 행여 그냥 지나치다 내버리다 아마 오늘 들다 차다 지루하다 없다 나다 전혀 다른 세상 눈앞 보다 오다 정말 자다 보다 그대 싶다 그대 그대 다가가다 놀라다 이제 시작 멈추다 없다 있다 달아나다 보다 이렇게 들다 낳다 주다 그대 부모님 감사하다 겉모습 하나 보고 던지다 보다 아니다 벌써 그대 전부 보다 오랫동안 없다 나다 전혀 다른 세상 사람 보다 자주 이렇다 오핸 말다 그대만 주다 싶다 그대 그대 다가가다 놀라다 다가가다 해도 이제 시작 멈추다 없다 있다 달아나다 보다 이유 그대 지키다 그대 안기다 보다 품속 위해 살다 남자 받다 그대 사랑 사랑 사랑 모자라다 세상 제일 행복하다 남자 맨날 친구 모두 부럽다 정도 아름답다 얘기 만들다 잡다 절대 놓다 않다 사랑 사랑 마음 보내다 그대 그대 다가가다 놀라다 그대 이제 시작 멈추다 없다 있다 달아나다 보다 그대 그대 다가가다 놀라다 이제 시작 멈추다 없다 있다 달아나다 보다 그대 그대 다가가다 놀라다
  제스처 (Gesture)  ,Fly With You,예쁘다 밉다 보다 얼어붙다 마음 녹다 하루 종일 떠오르다 멍하다 버리다 좋다 자기 전화하다 있다 잡고 같다 꾸다 눈부시다 별빛 너머 구름 내다 앉다 오늘 있다 전부 하루 종일 놀다 많이 피곤하다 일찍 들어가다 우리 같이 밤하늘 위로 잡고 같다 꾸다 눈부시다 별빛 너머 구름 내다 앉다 안다 눈부시다 아침 함께 잡고 같다 꾸다 눈부시다 별빛 너머 구름 내다 앉다
  Michael Kiwanuka  ,Piano Joint (This Kind Of Love),
  Cherish  ,Moment In Time,
  Starchild & The New Romantic  ,Hangin On,
  Ella Mai  ,Makes Me Wonder,
  Kidult  ,Night (Feat. LAST),해도 숨다 버리다 일어나다 가장 먼저 생각나다 아직 없다 오늘 숨다 버리다 끄다 시끄럽다 음악 달빛 어둡다 필요하다 밝히다 있다 조명 정신 없다 네온사인 안이 라면 도망치다 있다 웃다 있다 사람 나다 웃다 싶다 외롭다 비치다 모습 보다 아침 피해 도망치다 이유 네온사인 가로등 나르다 비추다 나르다 비추다 없다 없다 언제 가다 매일 생각 안나 나름 기적 잊다 보다 여자 클럽 합치다 빈자리 채우다 홀로 요즘 노래 만들다 듣다 있다 노래 근데 되돌리다 없다 정신 없다 네온사인 안이 라면 도망치다 있다 웃다 있다 사람 나다 웃다 싶다 외롭다 비치다 모습 보다 아침 피해 도망치다 이유
  Igor Barbosa  ,Enamorado,
  Corinne Bailey Rae  ,Trouble Sleeping,
  로만티코  ,Ghost (Feat. YOYO) (Guitar Ver.),다가오다 가슴 안기다 모습 잊다 수가 없다 없다 투명하다 모습 지우다 없다 그리움만 남아 그리움 모든 추억 기억 시간 추억 이제 모든 전부 지우다 해보다 항상 그렇게 지우다 모습 지우다 버리다 가슴 묻다 버리다 사랑 마음 버리다 이제 잊다 싶다 지우다 지우다 마다 자꾸만 모습 떠오르다 마음 지우다 없다 하나 보다 다가오다 가슴 안기다 모습 잊다 수가 없다 없다 투명하다 모습 지우다 없다 그리움만 남아 함께 시간 기억 같다 시간 우리 추억 모든 전부 잃다 버리다 대도 가슴 깊이 품다 있다 모습 지우다 버리다 가슴 묻다 버리다 사랑 마음 버리다 이제 잊다 싶다 지우다 지우다 마다 자꾸만 모습 떠오르다 마음 지우다 없다 하나 보다 다가오다 가슴 안기다 모습 잊다 수가 없다 없다 투명하다 모습 지우다 없다 그리움만 남아 다가오다 다가오다
  Ne-Yo  ,Closer (Agent X Bassline Remix),
  김승현 (kimSeUng hYun)  ,별자리 (Prod. By JE.ON),별도 설레다 있다 향기 두운 마음 되어다 없다 추억 별거 아니다 이야기 어보 우리 사이 별자리 내일 달라 보이 싶다 같다 아래 보이다 우리 거리 좁히다 싶다 마음 그린 따르다 걸다 사랑 해주다 같이 그리다 가지다 모으다 내면 나다 위해 담다 하루 있다 밤새 뜨다 오르다 어느새다 말투 느끼다 오늘 연습 아래 보이다 우리 거리 좁히다 싶다 마음 그린 따르다 걸다 사랑 해주다 같이 그리다 가지다 모으다 내면 나다 위해 담다 하루 있다 밤새 뜨다 있다 그린 따르다 걸다 사랑 해주다 같이 그리다 가지다 모으다 내면 나다 위해 담다 하루 있다 밤새 얘기 하고프다
  Javastory  ,3일 동안 굶었어,동안 굶다 나다 미치다 허기 한계 버티다 없다 고기 너무나도 먹다 싶다 솔직하다 인분 먹다 있다 같다 무한리필 없다 그래서 오늘 여기다 오다 우선 삼겹살 불판 올리다 소리 함께 고기 냄새 찌르다 대다 오다 없다 없다 소고기 여섯 종류 돼지고기 여섯 종류 가지 고기 모두 들어가다 생각 하니 너무 기분 좋다 솔직하다 양념 고기 좋아하다 사람 분명 있다 오다 시키다 싶다 시키다 있다 얼마나 좋다 청춘 가나 땡기다 보다 고기 넣다 녹다 식감 감싸다 행복하다 기분 다시 느끼다 싶다 구이구이 돼지 구이 구이 불쌍하다 고기 불쌍하다 고기 맛있다 고기 맛있다 고기 구이 돼지 미안하다 오늘 채우다 우리 모두 청춘 즐기다 자구 언제 지갑 눈치 보다 내다 맘껏 먹다 내일 보다 일주일 마치 여기다 마트 보다 싸다 무제한 여기다 종류 무한 리필 고기 맛집 알다 바로 대답 같다 냄새 다른 매장 민폐 주다 있다 종류 왤케 많다 고르다 고르다 맘껏 먹다 있다 있다 고기 스케일 왤케 좋다 오늘 뜨겁다 태우다 마치 불판 처럼 청춘 느끼다 순간 지루하다 없다 먹다 일루 고기 익히다 모든 고기 넣다 녹다 식감 감싸다 행복하다 기분 다시 느끼다 싶다 구이구이 돼지 구이 구이 불쌍하다 고기 불쌍하다 고기 맛있다 고기 맛있다 고기 구이 돼지 미안하다 오늘 채우다
  디알로  ,My Love,친구 소개 처음 보다 잊다 셔츠 작고 귀엽다 소녀 같다 사랑 기다리다 함께 시간 멈추다 싶다 전부 대도 하나 아깝다 않다 이쁘다 바라보다 쉬다 없다 알다 알다 사랑 있다 마음 이렇게 설레다 함께 있다 행복하다 전부 대도 하나 아깝다 않다 이쁘다 바라보다 쉬다 없다 이제 마음 커지다 시간 가면 갈수록 갖다 싶다 전부 대도 하나 아깝다 않다 이쁘다 바라보다 쉬다 없다
  캐리  ,예뻐 (Feat. 수다쟁이),수많다 사람 보다 유난히 모습 아름답다 보이다 보다 없다 느낌 들다 아마도 느낌 같다 하루 종일 생각 떠오르다 머리 얼굴 보이다 자도 꿈속 기다리다 뜨다 없다 너무 예쁘다 예쁘다 미치다 예쁘다 너무 예쁘다 너무 예쁘다 예쁘다 멎다 같다 몸매 너무 오늘 너무 슬프다 보이다 어쩐지 고개 숙이다 있다 다가가다 물어보다 싶다 보다 라보 매일 매일 생각 떠오르다 머리 얼굴 보이다 자도 꿈속 기다리다 뜨다 없다 너무 예쁘다 예쁘다 미치다 예쁘다 너무 예쁘다 너무 예쁘다 예쁘다 미치다 버리다 같다 몸매 너무 보다 동안 렌즈 찍다 사진 필름 백통 저절로 맞추다 초점 빼다 모두 시간 멈추다 아무 보다 알다 매력 넘치다 미소 프레임 담다 싶다 매일 펼치다 보다 기억 사진첩 예쁘다 너무 예쁘다 예쁘다 너무 예쁘다 너무 예쁘다 예쁘다 미치다 예쁘다 너무 예쁘다 너무 예쁘다 예쁘다 미치다 버리다 같다 몸매 너무 너무 예쁘다 예쁘다 미치다 예쁘다 너무 예쁘다 너무 예쁘다 예쁘다 미치다 버리다 같다
  포맨  ,첫사랑,초등학교 시절 좋아하다 우연히 만나다 그렇다 많이 달라지다 정말 숙녀 같다 책상서랍 하나 담기다 그리다 쓸다 얘기 이제 건네주다 많다 하나 기다리다 밤하늘 같이 놓다 곱다 눈빛 담다 다시다 잃다 싶다 않다 무척 아쉽다 헤어지다 안녕 한마디 전학 가다 밤새우다 울다 이제 다시 잃다 싫다 아무 떠나다 보내다 없다 이제 건네주다 많다 하나 기다리다 밤하늘 같이 놓다 곱다 눈빛 담다 다시다 잃다 싶다 않다 이제 해주다 많다 기다리다 순결하다 입술 별빛 되어다 밝히다 미소 감싸다 다시다 잃다 싶다 않다
  SOMA (소마)  ,Superman,매일 서투르다 표현 제일 겁나다 대다 울음소리 걱정 아마 우리 아빠 똑같다 처음 울다 무섭다 손바닥 닮다 세상 담다 커다랗다 아빠 안다 매일 이르다 저녁 시간 들다 뜨다 하루 시작 먼지 하루 보내다 없다 달리기 반복 걱정 아빠 예쁘다 펼치다 마른하늘 저기 무지개 되어다 있다 손바닥 닮다 세상 담다 커다랗다 아빠 안다
  소름사운드  ,Alone(Feat.정다은 of 피그말리온),하루 몇번 생각 있다 몸짓 젠날 사랑 않다 많다 순간 서로 시간 이상 갈다 잃다 우리 매일 그리다 오다 아름답다 모습 멍하니 사라지다 간다 뜨겁다 사랑 외치다 이상 닿다 않다 떠나가다 떠나가다 그대 없다 미랜 그리다 본적 없다 잡다 놓다 매일 무섭다 얼론 하루 몇번 생각 있다 몸짓 젠날 사랑 않다 많다 순간 서로 시간 이상 갈다 잃다 우리 매일 외면 혼자 순간 깊다 물들다 어간 마르다 마음 가다 외치다 이상 닿다 않다 떠나가다 떠나가다 그대 없다 미랜 그리다 본적 없다 잡다 놓다 매일 무섭다 얼론 하루 몇번 생각 있다 몸짓 젠날 사랑 않다 많다 순간 서로 시간 이상 갈다 잃다 하루 몇번 생각 있다 몸짓 젠날 사랑 않다 많다 순간 서로 시간 이상 갈다 잃다
  ABOUT  ,Aching,생각 않다 어렵다 않다 감다 버리다 모두 끝나다 발끝 놓이다 마음 아니다 자꾸만 따라오다 놓다 않다 좀처럼 놓다 생각 기다 헤치다 놓다 어지럽다 기억 좀처럼 나르다 놓치다 않다 기다 마주치다 있다 걸다 이제 그만 거두다 지다 따르다 거두다 지다 따르다 이제 그만
  Brian McKnight  ,What I`ve Been Waiting For,
  HEATH (히쓰)  ,우리가 내일을 말할 수 있을까,있다 많다 우리 같다 특별하다 지고 익숙하다 가다 우리 내일 있다 괜찮다 미루다 두다 어제 다툼 시간 말로 방치 사실 우리 점점 선명하다 가다 있다 우리 내일 있다 습관 우린 사랑 걸다 읽히다 않다 표정 보다 고개 바라다 끄다 우리 이대로 걸다 그렇다 있다 생각 그냥 그렇다 있다 사실 우리 점점 깊다 건지다 모르다 그렇다 내일 습관 우린 사랑 걸다 읽히다 않다 표정 보다 고개 우리 내일 어제 우린 사랑 있다 오늘 우리 떨어지다 있다 모르다 내일 내일 어디 가야 우리 내일 걸다 습관 우린 사랑 걸다 읽히다 않다 표정 보다 고개 우리 내일 있다 있다 많다 우리 같다
  전소미  ,어질어질 (Outta My Head),산소 없다 막히다 뒤틀리다 베베 꼬이다 얌전하다 심장 나대다 의미 없다 문자 오다 가다 조절 때문 들다 놨다 좌회전 우회 변덕 심해 꼬이다 알다 점점 머리 어질어질하다 정신 차리다 숨다 가빠지다 매일 약간 있다 그렇다 이렇다 아니다 집중 너무 미안하다 때리다 머릿속 과연 있다 혼자 착각 지치다 잃다 가다 미치다 지다 끌다 도와주다 들다 놨다 좌회전 우회 변덕 심해 얽히다 설켜 알다 점점 머리 어질어질하다 정신 차리다 숨다 가빠지다 매일 약간 있다 그렇다 이렇다 아니다 집중 너무 미안하다 때리다 이제 궁금하다 내다 아무렇다 관심 없다 많이 좋아하다 이렇겐 안되다 붙잡다 놓다 깊다 빠지다 어색하다 사이 설레다 이상은
  헬로펌킨  ,Ale Beer,하루 이틀 어느덧다 시간 모든 제자리 돌아오다 우린 아름답다 역시 행복하다 돌아서다 얘길 나누다 기억 자다 나다 않다 가끔 없다 우연 자꾸 불다 구릿빛 에일 맥주 잠깐 스치다 가다 어지럽히다 넘다 차갑다 쓴맛 남기다 오랫동안 맴돌다 구릿빛 에일 맥주 잠깐 스치다 가다 어지럽히다 넘다 차갑다 쓴맛 남기다 오랫동안 맴돌다 아직도 아니다 괜찮다 결말 알다 드라마 재밌다 사랑 그것 차다 부질없다 근데 이상하다 보다 재밌다 가끔 친구 한잔 누군가 꺼내다 얘기 정말 괜찮다 아무렇다 않다 자꾸 힘내다 구릿빛 에일 맥주 잠깐 스치다 가다 어지럽히다 넘다 차갑다 쓴맛 남기다 오랫동안 맴돌다 구릿빛 에일 맥주 잠깐 스치다 가다 어지럽히다 넘다 차갑다 쓴맛 남기다 오랫동안 맴돌다 에일 맥주 잠깐 스치다 가다 어지럽히다 넘다 차갑다 쓴맛 남기다 오랫동안 맴돌다 구릿빛 에일 맥주 잠깐 스치다 가다 어지럽히다 넘다 차갑다 쓴맛 남기다 오랫동안 맴돌다 에일 맥주 에일 맥주
  보이스퍼 (VOISPER)  ,꺼내보면,추억 살다 이렇게 바람 차가워지다 차갑다 맞다 잡다 시간 자꾸 내다 자꾸 내다 아련하다 떠오르다 겨울 자꾸 생각나다 마음 꺼내다 보다 우리 사일 좁히다 우리 행복하다 겨울 추억 꺼내다 보다 우리 멀리 있다 나르다 미소 채우다 추억 살다 까맣다 채운 별빛 추다 모르다 밤새우다 나누다 얘기 자꾸 자꾸 눈앞 추억 젖다 마음 꺼내다 보다 우리 사일 좁히다 우리 행복하다 겨울 추억 꺼내다 보다 우리 멀리 있다 나르다 미소 채우다 지난 사랑 아직도 머물다 있다 친구 어리석다 가끔 해주다 눈물 미소 주다 기억 많다 좋다 사람 좋다 추억 살다 멀다 훗날 꺼내다 보다 느낌 그때 느끼다 있다 멀다 훗날 꺼내다 보다 느낌 그대로 미소 지다 있다
  2xxx!  ,섬 (rough) (Feat. Colde),푸른 바랜 그대 사랑 그대 마음 흘리다 보내다 부터 모르다 두다 그대 눈빛 너무 아프다 견디다 없다 대다 내다 무슨 버리다
  Eric Bellinger  ,Valet (Feat. Fetty Wap And 2 Chainz),
  Colde (콜드)  ,없어도 돼,돌이키다 생각 우리 모든 돌아가다 다시 돌아가다 있다 끄다 나르다 진짜 과연 사랑 그때 우리 나누다 어디 가다 뱉다 쉬다 상처 깊다 서로 밀어내기 바쁘다 아무 이제 없다 버리다 어떡하다 정말 없다 없다 항상 있다 시간 자리 모든 이제 없다 다시 한번 생각 여전하다 있다 사랑 아니다 마주치다 돌아가다 없다 우린 차갑다 식다 버리다 뱉다 쉬다 상처 깊다 서로 밀어내기 바쁘다 아무 이제 없다 버리다 어떡하다 정말 없다 없다 항상 있다 시간 자리 모든 이제 없다
  Lauryn Hill  ,Guarding The Gates,
  문명진  ,No Wire (Inst.),집앞 빨리 오르다 기다리다 한장 입다 오다 오다 아무 모르다 오다 백허그 이건 난로 인간 촉감 절대 말로 표현 환상 만족감 느낌 느낌 매혹 촉감 절대 인조 찰지다 상상 좋다 녹다 게슴츠레 뜨다 있다 가요 녹다 잠깐 졸다 립스틱 바르다 나오다 보다 같다 예쁘다 늘다 치다 가다 끌어안다 팔짱 끼다 이건 난로 인간 촉감 절대 말로 표현 환상 만족감 느낌 느낌 매혹 촉감 절대 인조 찰지다 상상 좋다 녹다 게슴츠레 뜨다 있다 가요 녹다 잠들다 늑대 본능 흔들다 오늘 유난히 예쁘다 깊다 모르다 너무 좋다 동물 감각 오늘 무슨 일이 생기다 같다 좋다 녹다 게슴츠레 뜨다 있다 가요 녹다
  바이브  ,Do U Remember,사진 보다 한쪽 찢다 우리 한쪽 찢다 남다 그렇게 잊다 싶다 사진 찢다 버리다 편지 보다 반쪽 찢다 거울 보다 눈물 비치다 한참 울다 눈물 잊다 싶다 그렇다 잊다 싶다 편지 찢다 혼자 서도 자다 해내다 없다 자다 해내다 있다 만약 딴사람 만나다 행복 빌다 없다 자다 해내다 습관 눈물 흘리다 않다 찢기다 태우다 사진 보다 가끔 같다 같다 같다 이렇다 이별 지갑 버리다 찢기다 사진 한장 한장 빛바랜 추억 한장 아직도 버리다 반지 편지 가끔 생각 지치다 사랑 반쪽 잃다 사랑 혼자 남다 한참 울다 눈물 잊다 싶다 그렇다 잊다 싶다 편지 찢다 혼자 서도 자다 해내다 없다 자다 해내다 있다 만약 딴사람 만나다 행복 빌다 없다 자다 해내다 습관 눈물 흘리다 않다 찢기다 태우다 사진 보다 혼자 서도 자다 해내다 없다 자다 해내다 있다 만약 딴사람 만나다 행복 빌다 없다 해내다 습관 눈물 흘리다 않다 이렇게 다짐 잠시 나다 모르다 어느새다 기다리다 항상 웃다 있다 사진 보다
  Durand Jones & The Indications  ,Too Many Tears (feat. Aaron Frazer),
