artist,title,Korean_clean_lyric
  레인보우  ,너뿐이라고,햇살 시원하다 바람 둘이서 함께 거리 느껴지다 머리 아프다 어지럽다 때문 가끔 이렇게 아프다 아직 바보 그립다 없다 너뿐이 떨리다 내다 가끔 힘들다 생각 힘드다 남아 없다 너뿐이 심장 가끔 미우다 장난스럽다 미소 나르다 웃다 잊다 감추다 꺼내다 아직 바보 잊다 없다 너뿐이 떨리다 내다 가끔 힘들다 생각 힘드다 남아 없다 너뿐이 심장 가끔 미우다 장난스럽다 미소 나르다 웃다 사랑 너무 쉽다 아직 미련 너뿐이 심장 터지다 같다 없다 너뿐이 떨리다 내다 가끔 힘들다 생각 힘드다 남아 돌아오다 돌아오다 달라 심장 가끔 미우다 장난스럽다 미소 나르다 웃다
  태사비애  ,"행복하라고 (Soul Ver,Duet 타이푼_우재)",머리 짧아지다 변하다 화장 먹다 그렇다 그렇다 있다 나다 변하다 싶다 너무나 바보 살아오다 사랑 사랑 아니다 떠나다 행복하다 행복하다 행복하다 사랑 잊다 얼마나 행복하다 얼마 행복하다 행복 위해 사랑 놓다 없다 얼마 우연히 보다 너무나 모습 가슴 아프다 서다 눈물 나다 한참 동안 그렇게 울다 행복하다 행복하다 행복하다 사랑 잊다 얼마나 행복하다 얼마 행복하다 행복 위해 사랑 놓다 없다 미워하다 미워하다 없다 사랑 사랑 행복하다 행복하다 행복하다 사랑 잊다 얼마나 행복하다 얼마 행복하다 행복 위해 사랑 놓다 없다
  Big Five  ,매일이 와,슬프다 웃다 얼굴 입술 이름 색깔 바랜 기억 세상 잠들다 외롭다 흔들다 기다 노을 물들다 하늘빛 매번 되어다 내려오다 혼자 남다 우산 숨다 사람 사이 닮다 누군가 젖다 반갑다 다시 내게로 다가오다 해주다 바람 그린 추억 겹겹이 쌓이다 풍경 없이 나르다 스치다 발걸음 같다 시간 만날 거기 어딘가 계절 변하다 가나 보다 하늘빛 매번 되어다 내려오다 혼자 남다 우산 숨다 사람 사이 닮다 누군가 젖다 반갑다 다시 내게로 다가오다 해주다 수많다 밀려오다 상처 아직도 멈추다 나다 서로 다른 어제 찾다 멀어지다 언젠가 만날 기다리다 빗물 슬프다 가슴 지다 여러 없다 지나가다 잡지 낡다 주머니 잃다 희미하다 찾다 매일 오다
  윤종신  ,나쁜 (Feat. 윤상),달이 다야 최선 믿다 이별 효과 상처 깊다 그럴듯하다 싸구려 진통제 굳다 싫증 이미 버리다 구차하다 비겁하다 이별 만들다 가기 절대 용서 후회 찾다 무릎 꿇다 사랑 이유 마음 해도 아프다 이미 늦다 받아들이다 이제 가장 사랑 순간 일지 결국 잊다 결국 현명하다 내겐 아프다 순간 눈가 주름 이끼 남아 무뎌져 웃다 싫다 무뎌져 추억 싫다 가르다 치르다 진심 귀찮다 최후 절대로 용서 후회 찾다 무릎 꿇다 사랑 이유 마음 해도 아프다 이미 늦다 받아들이다 이제 가장 사랑 순간 일지 미안하다
  지아  ,Falling In Love (Duet With 환희),웃다 눈물 대다 떠올리다 가슴 넘다 차오르다 어쩔 수가 없다 알다 그대 곱다 내다 해주다 일찍 알아보다 그렇다 말투 표정 모두 사랑 열다 오늘 기다리다 내겐 운명 같다 사람 그대 대다 사랑 가끔 불안하다 그대 웃다 언젠가 모두 사라지다 순간 보다 그렇게 스치다 지나다 인연 아니다 자다 알다 이렇다 행운 정말 가요 손길 웃음 모두 사랑 열다 오늘 기다리다 내겐 운명 같다 사람 그대 잡다 기대 영원하다 그대만 사랑 우리 감다 이제 나르다 받다 그대 사랑 내겐 운명 같다 사람 그대 잡다 기대 영원하다
  왁스  ,내게 오는 길,생각 잠기다 걷다 있다 그대 설레다 마음 몰래 그대 모습 바라보다 담다 사랑 다른 설명 없다 함께 걷다 다시 추억 끝나다 않다 오늘 지키다 갈다 사랑 아끼다 그렇다 표현 하나 모든 변하다 그대 사랑 망설이다 받다 주기 아직 힘드다 대다 떠나다 사람 그만 잊다 애쓰다 그때 기다리다 사랑 아끼다 그렇다 표현 하나 모든 변하다 그대 사랑 눈물 남다 모두 흘리다 버리다 좋다 하늘아래 우리 남다 사랑 있다 다가가다 내다 오다 내다 기대다 마음 사랑 아니다 해도 괜찮다 대다 있다 괜찮다 사랑
  솔비  ,없다...,없다 없다 이제 없다 우리 지독하다 사랑 이쯤 놓다 울다 웃다 미치다 여자 거울 비치다 실컷 해보다 가다 달래다 보다 가슴 터지다 차고 타다 외치다 보다 보다 다시다 부르다 이름 행여 발걸음 또다시 하루하루 다그 모질다 붙잡다 보다 안녕 안녕 슬프다 사랑 우리 이제 아프다 없다 부디 행복하다 가슴 터지다 차고 타다 외치다 보다 보다 다시다 부르다 이름 우린 아니다 아니다 인연 맞다 이렇게 힘들다 없다 다시다 이렇다 사랑 다시다 사랑 이름 아래 이리 아프다 그렇다 이렇다 사랑 알다 혹시 먼훗날 멍청하다 찾다 모질다 세우다 너마저 그러면 이제 사랑 같다 다시다 없다
  김예준  ,Whenever Wherever Whatever,
  한경일  ,그리고,갈다 만나다 아무 상관 없다 맑다 웃다 편안하다 우리 함께 추억 지나다 대다 잊혀지다 갈다 대다 보다 우리 처음 만난 낮다 언덕길 달려가다 막다 서다 잃어버리다 사랑 믿다 놀란 고여 있다 눈물 기억 보다 보내다 서다 사람과 함께 오랜 기다림 보내다 서다 사람 돌아보다 사람 싫어하다 모르다 그렇게 모르다 걸어가다 다시 멈추다 말다 보다 보내다 있다 사람과 함께 오랜 기다림 보내다 서다 사람 사랑 나르다 떠나다 행복하다 그대 내다 다시 오기 믿다 보다 보내다 서다 사람과 함께 오랜 기다림 보내다 서다 사람
  윤종신  ,수목원에서,수다 뜨다 아줌마 웃다 누굴 타다 찾다 울다 대다 벌레 여전하다 그대 거닐다 그대로 모습 간직 추억 나뭇가지 사이 숨다 햇살 너무 푸르름 뿜어내다 여전하다 그대 행복하다 그대로 향기 간직 추억 길다 나르다 인도 괜찮다 그대 없다 혼자 걷다 기분 아주 인걸 그대 인생 푸른 있다 빌다 정말 편하다 찾아오다 수목원 우리 사진 나무 많이 자르다 가슴 안고 들이마시다 싱그럽다 여전하다 그대 행복하다 그대로 향기 간직 추억 길다 나르다 인도 괜찮다 그대 없다 혼자 걷다 기분 아주 인걸 그대 인생 푸른 있다 빌다 정말 편하다 찾아오다 괜찮다 그대 없다 혼자 걷다 기분 아주 인걸 그대 인생 푸른 있다 빌다 정말 편하다 찾아오다 수목원
