artist,title,English_clean_lyric
  IZ*ONE (아이즈원)  ,DREAMLIKE,choice view baby gon world dreamlike dreamlike dreamlike moment street baby gon world dreamlike dreamlike dreamlike feeling twinkle gon dream gon world dreamlike dreamlike dreamlike dreamlike tell sparkle see find see find get feel fly ocean ta lombard
  지나  ,꺼져 줄게 잘 살아 (Feat. 용준형) (English Ver.),baby goodbye look eye try need guess girl love cause love love tear sweety memory way baby cause love love tear forget love reason life baby love left goodbye dream baby please everything time nothing tear let oh oh oh baby goodbye say tell tell hide lie get go get fade seem let go say turn walk let go give take take gon shed gon let go fade win look hold say turn walk let go give take take gon shed gon let go make believe fall tell let go love hop remember share compare gon shed get gon cry oh oh say afraid ta goodbye shawty goodbye true baby please ta oh oh oh oh na still away back back yup even deep inside away back back oh
  4minute  ,Hot Issue (신사동호랭이 Remix),yo something girl let issue ho issue control control shoe minute issue star issue issue issue issue issue issue issue issue issue jump jump jump issue ho issue control control issue flash boom boom issue issue issue issue issue issue issue issue issue jump jump jump issue ho issue control control issue issue ho issue control control minute girl minute girl minute girl issue issue stop show ha go take take hot babe take take hot babe take take hot take take hot hot ready ha hot hot hot hot rouge hot hot hot star shawty let hot hot hot hot boom let hot hot hot hot hot hot hot hot hot hot hot
  이민규  ,아가씨,
  SUPER JUNIOR (슈퍼주니어)  ,Too Many Beautiful Girls,hey hey hey hey hey hey girl girl girl girl come girl come yeah girl girl yeah yeah yeah hello hell girl girl girl girl come girl come yeah girl woo woo girl woo woo fallin girl come girl come yeah girl girl come come na na na na na na na na na na na na come many beautiful many beautiful oh oh many beautiful many beautiful na na na many beautiful na na na many beautiful many beautiful many beautiful
  김보형  ,아름다워,ya ya ya ya youth ya ya ya ya youth ooh
  인피니트  ,She`s Back,time love love time love love back back back back love love tell tell come come come come oh oh good good oh oh good good back back back back back back back back back back back back back back back back back back back back back back back
  헬로비너스  ,Romantic Love,guy girl love oh love guy girl love oh romantic romantic romantic romantic romantic
  디스코맨 손헌수  ,GET UP (겟업),beat beat beat hey hey hey hey hey mr everybody hey hey hey hey hey mr hey hey hey mr upupup everybody hey hey hey hey hey mr everybody hey hey hey hey hey mr hey hey hey hey hey mr hey mr hey mr hey mr left right left everybody hey hey hey hey hey mr everybody hey hey hey hey hey mr hey hey hey hey hey mr hey mr hey mr hey mr hey mr hey mr hey mr hey mr everybody beat party tonight something yeh hey hey hey hey hey mr everybody hey hey hey hey hey mr hey hey hey time hey hey hey hey hey mr everybody hey hey hey hey hey mr hey hey hey get get get get get get get get get get get get get hey hey hey leave leave get get get get get hey hey hey hey hey hey hey get get get get drink go go get get get get get woo woo hot hey hot hey hot hey hot right woo hot hey hot hey hot hey hot hey hot hey hot hey hot hey hot woo woo go
  태민 (TAEMIN)  ,Crazy 4 U,baby crazy crazy oh cra cra cra cra crazy hey vu baby crazy crazy crazy crazy woo yeah cra cra cra cra girl cra cra cra cra crazy vu cra cra cra crazy girl come girl deja crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy deja crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy
  DJ DOC  ,두근거리는 상상,
  백현 (BAEKHYUN)  ,Psycho (Bonus Track),game psycho psycho game psycho psycho game game psycho psycho game psycho psycho game game psycho psycho game psycho psycho game psycho psycho psycho psycho psycho psycho psycho
  SF9  ,Jungle Game,huh clock tock fire welcome jungle game wrah wrah oh game game huh clock tock jungle game wrah wrah oh game game wrah wrah oh game wrah go tick go go go tick ooh go go go go go go ready tick animal oh ready jungle ready jungle ready sorry tick welcome animal oh ready ready jungle ready jungle animal oh ready ready jungle ready alright yo yo wrah yo yo yo yo
  문희준  ,Winter Story,
  스페이스 에이  ,주홍글씨,ye ye ye ye ye uhm uhm
  타이푼  ,칼날,movin love bounce let movin love typhoon set love love stop keep let burn go clap typhoon stop
  인피니트  ,추격자 (OGS Returns Live Ver.),bye girl bye good good
  카라  ,멜랑꼴리 (24/7),love baby love baby love god day thinkin heart uh roller coaster day thinkin heart day thinkin heart show tell tell stop stop stop oh oh oh
  에이프릴 (APRIL)  ,예쁜 게 죄 (Inst.),mistake mistake mistake mistake mistake mistake mistake way way laser wow mistake mistake mistake way way mistake mistake way way girl love love sunset love love love love update girl update girl update
  서후  ,그리 잘나지도 않은 너,baby baby baby baby
  WINGS  ,꽃이 폈어요 (Feat. 배치기),
  소찬휘  ,넌 그렇게 살지마,
  EXID  ,Too Good To Me,good good good baby good good good good cause yeah cause yeah cause baby cause yeah cause baby cause yeah cause baby good good good good good good good good good good good good good good
  서연  ,Sweet July,
  오종혁  ,가슴이 뛰잖아,
  유승준  ,찾길바래 (I Will Be Back),chance passion nobody mess bomb yo pay sit relex act flow pop hip pop something block time patience chance get get tell drop feel feel lay stick take get get tell west automatic climax real low back back back back yo back back
  조승희  ,Wonderland,dejavu wonderland wonderland wonderland saw saw see wonderland saw saw see wonderland saw saw see wonderland never never never
