artist,title,Korean_clean_lyric
  Flor  ,Hold On,
  Nap Eyes  ,I`ve Always Known You Care,
  어보이드 (AVOID)  ,누가 먼저랄 것도 없이,모두 잠들다 시간 또한 잠들다 밀려오다 외로움 이대 같다 마음 그래서 다다르다 무작정 달려가다 수줍다 바라보다 마치 기다리다 오다 듯이 그렇게 우리 먼저 없이 서로 아끼다 주다 그것 우리 시작 우린
  서지안  ,회상,걸다 누군가 있다 느끼다 버리다 이미 그대 떠나다 혼자 걷다 있다 거지 바람 차갑다 지네 마음 서서 움직이다 없다 마치 버리다 사람 놀라다 있다 거지 달빛 숨다 흐느끼 있다 떠나다 버리다 사람 생각나다 돌아서다 사람 생각나다 묻다 않다 나르다 떠나다 마음 너무 아프다 이미 그대 돌아서다 있다 어쩔 없다 미우다 오히려 나다 떠나다 버리다 사람 생각나다 돌아서다 사람 생각나다 생각나다 생각나다 미안하다 잘해주다 이해 떠나가다 떠나다 버리다 사람 생각나다 돌아서다 사람 생각나다 묻다 않다 나르다 떠나다 마음 너무 아프다 이미 그대 돌아서다 있다 혼자 어쩔 없다 바람 차갑다 지네 바람 차갑다 지네 미우다 오히려 나다
  Nada Surf  ,Jules And Jim,
  MIKA  ,My Interpretation,
  Hippo Campus  ,tuesday,
  잠비나이  ,구원의 손길 (Hand Of Redemption),벼랑 거치다 몰다 치다 시간 가다 찢기다 파편 틈새 새다 나오다 죽다 마지막 영혼 뒤틀리다 점철 되어다 간다 뒤틀리다 버리다 이미지 눈앞 현실 서서히 귓속 파고들다
  악퉁  ,Passion,걸다 길다 가야 그렇다 무언가 있다 모두 내다 손짓 생각 생각 노을 지다 파도 같다 사람 모르다 사랑 노래 걸다 길다 가야 생각 노을 지다 파도 같다 사람 모르다 사랑 노래 사람 모르다 사랑 노래 사람 모르다 사랑 노래
  Light Up The Sky  ,Breather,
  FTISLAND (FT아일랜드)  ,Let it go!,
  김경호  ,사랑이 들린다면,표현 그저 함께 있다 이유 행복 여전하다 내다 추억 스치다 지나가다 많다 시간 기억 기다리다 우리 모습 보다 시간 멈추다 해도 보다 우린 서로 같다 시간 함께 걷다 있다 노래 들리다 이대로 둘이서 잠들다 보다 해주다 사랑 사랑 사랑 들리다 영원하다 둘이서 이대로 내다 오다 눈물 맘껏 어도 잠들다 바라다 기다리다 우리 모습 보다 시간 멈추다 안해 보다 우린 서로 같다 시간 함께 걷다 있다 노래 끝나다 대도 있다 잠들다 보다 해주다 사랑 사랑 세상 멈추다 대도 있다 다가가다 위해 기다리다 주다 위해 지켜보다 주다 위해 사랑 주다 노래 들리다 이대로 둘이서 잠들다 보다 해주다 사랑 사랑 사랑 들리다 영원하다 둘이서 이대로 내다 오다 눈물 맘껏 어도 잠들다 바라다
  Saosin  ,You`re Not Alone (Radio Edit),
  Hoobastank  ,Lucky (Album Ver.),
  Maroon 5  ,Wipe Your Eyes,
  Iggy Pop  ,American Valhalla,
  Iron Maiden  ,2 Minutes To Midnight,
  Yellowcard  ,Two Weeks From Twenty,
  Electric Light Orchestra  ,Last Train To London,
  Nine Inch Nails  ,March Of The Pigs,
  Pink Floyd  ,High Hopes (Radio Edit),
  Run River North  ,Fight To Keep,
  The Damned  ,Problem Child,
  로열 파이럿츠  ,Without You,이해 없다 어디 어디 가다 이대로 이대로 떠나다 남아 지겹다 모든 지치다 알다 무너지다 버리다 삶다 아무렇다 의미 없다 저리 같이 그저 아니다 그렇다 사람 후회 다시 돌아가다 싶다 나다 이렇다 싫다 감다 힘들다 힘들다 살다 떠나다 남아 지겹다 모든 지치다 알다 나다 모르다 무뎌져 버리다 마음 아무 믿다 없다 저리 같이 그저 아니다 그렇다 사람 후회 다시 돌아가다 싶다 나다 이렇다 싫다 감다 이해 없다
  신해철  ,날아라 병아리,육교 네모 상자 처음 나오다 만난 노랗다 병아리 얄리 다시 조그만 상자 돌아가다 우리 앞뜰 묻히다 어리다 처음 죽음 보다 아직 기억 아주 작다 친구 노랗다 부르다 작다 채우다 안다 느낌 작다 심장 느껴지다 우리 함께 그리다 길다 가지다 어느 얄리 많이 아프다 힘없다 눕다 있다 슬프다 날갯짓 새벽 무렵 차디차다 식다 있다 굿바이 얄리 아픔 없다 있다 굿바이 얄리 조그만 무덤 가다 올해 피다 눈물 마르다 무렵 희미하다 있다 역시 세상 머무르다 영원하다 없다 설명 없다 어리다 죽음 가르치다 주다 굿바이 얄리 아픔 없다 있다 굿바이 얄리 조그만 무덤 가다 올해 피다 굿바이 얄리 아픔 없다 있다 굿바이 얄리 언젠가 다음 세상 친구 태어나다 주다
  Scar Symmetry  ,Prism And Gate,
  Marilyn Manson  ,Burning Flag,
  Seoul Mothers  ,Don`t Forget What Your Mother Said,어머니 말씀 가슴 새기다 두다 정의 진리 밑천 넘어지다 쓰러지다 다시 일어서다
  Gogang (고갱)  ,The Last Party,
  Limp Bizkit  ,Full Nelson (Album Version),
  Mew  ,Comforting Sounds,
  롤러 코스터  ,눈을 한번 깜박,만이 한참 동안 멍하니 그냥 보다 보다 오늘 따르다 유난히 맑다 오늘 따르다 생각 한번 우리 두다 매일 그리다 얘기 많다 아침 오다 모르다 도록 오늘 따르다 유난히 오다 않다 오늘 따르다 생각 한번 우리 두다 매일 그리다 일이 많다 한참 웃다 웃다 모르다 우리 두다 매일 그리다 얘기 많다 아침 오다 모르다
  시나위  ,어머니의 땅,아무리 바꾸다 너무나 달라 다른 머리 영혼 버려지다 항상 혼자 버려지다 혼자 뿌리 없다 잡초 살아오다 누군지 모르다 아무 알다 멀리 들려오다 어머니 숨소리 부르다 돌아오다 어머니 부르다 버리다 하늘아 보다 버려지다 항상 혼자 버려지다 혼자 멀리 들려오다 어머니 숨소리 부르다 돌아오다 어머니 부르다 부르다 부르다 부르다
  Bic Runga  ,She Left On A Monday,
"  Jamie Kaleth ,  Ross Mclean  ",We Got It All Right Here,
  22-20s  ,Baby Brings Bad News,
  Meg Myers  ,Numb,
  Joe Cocker  ,Unchain My Heart,노아 주오 그대 나르다 내다 두다 마음 자유 잡다 없다
  U2  ,"Stay (Faraway, So Close!)",
  이브  ,Adrenalin Drive,다시 불빛 사이 한없이 가속 가다 거치다 숨소리 뜨겁다 타오르다 회색 남겨지다 열정 모두 태우다 버리다 소릴 들다 보다 터지다 울리다 심장소리 버리다 대도 잊다 있다 펼쳐지다 있다 환상 떠나가다 이제 나르다 없다 다시 시간 멈추다 버리다 해도 나르다 몰다 마음 깊이 넘다 있다 안개 지우다 있다 일그러지다 상속 떠나가다 소릴 들다 보다 터지다 울리다 심장 소리 버리다 대도 잊다 있다 펼쳐지다 있다 환상 다른 내일 떠나가다
  Red Hot Chili Peppers  ,Strip My Mind,
  클라인 블루  ,Rain,언제 나르다 지키다 주다 약속 지금껏 속이다 오다 모든 같다 많다 시간 잊어버리다 모든 모두 잊어버리다 새롭다 새롭다 기분 지치다 너무 아프다 어느 없다 나일 없다 잊어버리다 모든 모두 잊어버리다 이제 새롭다 새롭다 기분
  Gorillaz  ,Feel Good Inc.,
  The Cure  ,Primary,
  The Murmurs  ,Big Talker,
  Green Day  ,Longview,
  Alter Bridge  ,Cry A River,
  The Dead Weather  ,Rocking Horse,
